id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
71,Bali Surfer's Perfume,,Bali Cliff 1,,https://shopee.co.id/Bali-Surfers-Perfume-Varian-Bali-Cliff-1-i.457136520.18140533197?sp_atk=59fd3732-85dc-4579-a996-1fe02c181780&xptdk=59fd3732-85dc-4579-a996-1fe02c181780,EDP,4.1,Unisex,100,"199,000.00","1,990.00",Pink Pepper,Bergamot,Apple,Oakmoss,Cinnamon,Lavender,Chestnut,Vanilla,Cedarwood
72,Bali Surfer's Perfume,,Bali Cliff 2,,https://shopee.co.id/Bali-Surfers-Perfume-varian-Bali-Cliff-2-i.457136520.18740538682?sp_atk=56296f6a-78b0-4459-a97b-46b54ccd34b5&xptdk=56296f6a-78b0-4459-a97b-46b54ccd34b5,EDP,4.9,Unisex,100,"199,000.00","1,990.00",Citrus,,,Lavender,Almond,Floral,Vanilla,Amber,Woody
73,Bali Surfer's Perfume,,Balangan and Me,,https://shopee.co.id/Bali-Surfers-perfume-varian-Balangan-and-me-i.457136520.23842054796?sp_atk=7e4255c6-c1b3-42df-9a89-709a4e0d65f4&xptdk=7e4255c6-c1b3-42df-9a89-709a4e0d65f4,EDP,4.4,Unisex,100,"199,000.00","1,990.00",Grapefruit,Cedarwood,Tonka Bean,,,,,,
74,Bali Surfer's Perfume,,Dreamland,,https://shopee.co.id/Bali-Surfers-Perfume-Varian-Dreamland-i.457136520.21788593094?sp_atk=11c31a68-e8be-488d-8773-3e02b1d7ee71&xptdk=11c31a68-e8be-488d-8773-3e02b1d7ee71,EDP,4.7,Unisex,100,"199,000.00","1,990.00",Nutmeg,Lavender,Patchouli,,,,,,
75,Bali Surfer's Perfume,,Papan Selancar,,https://shopee.co.id/Bali-Surfers-Perfume-Varian-Papan-Selancar-i.457136520.20767204167?sp_atk=41ff1f03-3c8b-4554-a327-6e9d0efaf6ca&xptdk=41ff1f03-3c8b-4554-a327-6e9d0efaf6ca,EDP,4.2,Unisex,100,"199,000.00","1,990.00",Hazelnut,Vanilla,Honey,Nutty,Bergamot,Patchouli,,,
76,Bali Surfer's Perfume,,Kuta 7am,,https://shopee.co.id/Bali-Surfers-Perfume-Kuta-7am-i.457136520.13975169208?sp_atk=c5048e91-a97f-44d6-ad2f-5dd1c1a2b7fe&xptdk=c5048e91-a97f-44d6-ad2f-5dd1c1a2b7fe,EDP,4.5,Unisex,100,"199,000.00","1,990.00",Lychee,Citrus,Jasmine,Floral,Musk,Woody,,,
77,Bali Surfer's Perfume,,Kuta 7pm,,https://shopee.co.id/Bali-Surfers-Perfume-Kuta-7pm-i.457136520.15948852179?sp_atk=0ac15901-0241-4bc4-ba07-b1a7f95aefbf&xptdk=0ac15901-0241-4bc4-ba07-b1a7f95aefbf,EDP,4.1,Unisex,100,"199,000.00","1,990.00",Lychee,Citrus,Bamboo,Tea,Musk,Amber,,,
78,Bali Surfer's Perfume,,The Ubud,,https://shopee.co.id/Bali-Surfers-perfume-varian-the-ubud-37-ml-travel-size-i.457136520.22137660501?sp_atk=e13df50a-ad9d-4cef-85c8-ce096d0c9e79&xptdk=e13df50a-ad9d-4cef-85c8-ce096d0c9e79,EDP,4.1,Unisex,37,"120,000.00","3,243.24",Peach,Musk,Red Rose,Patchouli,,,,,
79,Black Friday,https://www.instagram.com/theblackfriday.id/,Smells Like Friday 02,,https://shopee.co.id/black_friday_official_shop/9035006622,EDP,4.1,Unisex,50,"111,200.00","2,224.00",Saffron,Thyme,Raspberry,Violet,Incense,Leathery,Cedarwood,Cistus,Vanilla
80,Black Friday,,Smells Like Friday 01,,https://shopee.co.id/Black-Friday-Smells-Like-Friday-01-Eau-De-Parfum-Fruity-Chypre-i.413464683.9035006545?sp_atk=2882a8a2-ead5-440a-acf9-645b1d0eb596&xptdk=2882a8a2-ead5-440a-acf9-645b1d0eb596,EDP,4.5,Unisex,150,"107,030.00",713.53,Bergamot,Mandarin Orange,Lemon,Green,Jasmine,Patchouli,Moss,Musk,
81,Boura Perfumery,https://instagram.com/boura.id?igshid=YmMyMTA2M2Y=,Noisy Bathroom,,https://shopee.co.id/bouraid/21510676031,EDP,5,Unisex,30,"143,100.00","4,770.00",Star Anise,Pineapple,Fennel,Cotton Flower,Jasmine,Virginia Cedarwood,Musk,Ambergris,Tonka Bean
82,Boura Perfumery,,Living Montage,,https://shopee.co.id/Boura-Perfume-Living-Montage-30ml-Unisex-Perfume-i.668331521.16004721486?sp_atk=c59ec0bc-ee24-42aa-a91d-b71688e8437d&xptdk=c59ec0bc-ee24-42aa-a91d-b71688e8437d,EDP,4.4,Unisex,30,"135,150.00","4,505.00",Wild Berries,Orange Blossom,Tangerine,Caramel,Pear,Jasmine,Madagascar Vanilla,Licorine,Musk
83,Boura Perfumery,,Visco Garden,,https://shopee.co.id/Boura-Perfume-Visco-Garden-30ml-Unisex-Perfume-i.668331521.16904722324?sp_atk=68e99023-289a-47aa-b092-9c74a8af176a&xptdk=68e99023-289a-47aa-b092-9c74a8af176a,EDP,4.6,Unisex,30,"135,150.00","4,505.00",Lemon,Bergamot,Bitter Orange,Red Rose,Juniper,Jasmine,Balsam Fir,Musk,Ambergis
84,Boura Perfumery,,Ellinika Doors,,https://shopee.co.id/Boura-Perfume-Ellinika-Doors-30ml-Unisex-Perfume-i.668331521.23112739840?sp_atk=d802ade6-abb2-4ff2-b116-7e5b1321b0d4&xptdk=d802ade6-abb2-4ff2-b116-7e5b1321b0d4,EDP,4.2,Unisex,30,"135,150.00","4,505.00",Raspberry,Strawberry,Grapefruit,Lily,Freesia,Red Rose,Rhuburb,Musk,Amber
85,Boura Perfumery,,Bibliosmia,,https://shopee.co.id/Boura-Perfume-Bibliosmia-30ml-Unisex-Perfume-i.668331521.21467458736?sp_atk=0755716d-015d-4495-8f6a-1501d965a7bb&xptdk=0755716d-015d-4495-8f6a-1501d965a7bb,EDP,4.8,Unisex,30,"135,150.00","4,505.00",Neroli,Black Pepper,Cardamom,Geranium,Mate,Orchid,Amber,Patchouli,Vanilla
86,Brishka,https://www.instagram.com/brishka.id/,Malibu Night,,https://shopee.co.id/brishka.id/20641776819,EDP,5,Masculine,100,"200,000.00","2,000.00",Bergamot,,,Black Pepper,,,Vanilla,,
87,Brishka,,Poolside,,https://shopee.co.id/Brishka-Eau-De-Parfum-100-ML-For-Woman-Poolside-i.738840611.20641788028?sp_atk=ca77e215-40bc-4673-a29d-63a89d77cb11&xptdk=ca77e215-40bc-4673-a29d-63a89d77cb11,EDP,4.5,Masculine,100,"151,390.00","1,513.90",Blueberry,Raspberry,Cherry,Orange Blossom,Red Rose,Violet,Amber,Musk,Sandalwood
88,Brishka,,MADLY,,https://shopee.co.id/Brishka-Eau-De-Parfum-60-ML-MADLY-i.738840611.22424543060?sp_atk=f6471e31-f257-4b66-ab69-875636db2a5a&xptdk=f6471e31-f257-4b66-ab69-875636db2a5a,EDP,4.1,Masculine,60,"129,000.00","1,290.00",Blackcurrant,Orange Blossom,,Nutmeg,Bitter Almond,Coffee,Tonka Bean,Amber,Cedarwood
89,Brishka,,DEEPLY,,https://shopee.co.id/Brishka-Eau-De-Parfum-60-ML-DEEPLY-i.738840611.23626523321?sp_atk=8e8f31d1-e8d5-44e4-ae39-46861df06d2b&xptdk=8e8f31d1-e8d5-44e4-ae39-46861df06d2b,EDP,4.6,Masculine,60,"129,000.00","1,290.00",Pear,Cherry,Pink Pepper,Coffee,Jasmine,Orange Blossom,Vanilla,Cedarwood,Musk
90,Brishka,,TRULY,,https://shopee.co.id/Brishka-Eau-De-Parfum-60-ML-TRULY-i.738840611.20173372077?sp_atk=a2429215-f847-461f-af68-c643c1e3b3e7&xptdk=a2429215-f847-461f-af68-c643c1e3b3e7,EDP,4.5,Masculine,60,"129,000.00","1,290.00",Cherry,Apple,Lemon,Red Rose,Violet,,Sandalwood,Amber,Musk
91,Brishka,,Warm On A Cold Night,,https://shopee.co.id/Brishka-Perfume-For-Woman-Warm-On-A-Cold-Night-30-ML-i.738840611.14190399013?sp_atk=1443e583-59c8-4e4e-ad06-49606ba58a6a&xptdk=1443e583-59c8-4e4e-ad06-49606ba58a6a,EDP,4.7,Masculine,30,"75,000.00",750,Jasmine,Saffron,,Amberwood,,,Fir Resin,Cedarwood,
92,CARESO,https://www.instagram.com/careso.official/,Clean,,https://shopee.co.id/CARESO-All-Day-EDT-CLEAN-100ml-i.260166994.12881074930?sp_atk=04b2b089-c981-4381-bee5-40caafa66e6f&xptdk=04b2b089-c981-4381-bee5-40caafa66e6f,EDT,4.4,Unisex,100,"169,000.00","1,690.00",Cotton,Red Rose,Peony,Sandalwood,Musk,,,,
93,CARESO,,Allure,,https://shopee.co.id/CARESO-All-Day-EDT-ALLURE-100ml-i.260166994.17320122327?sp_atk=b27f21ce-5f19-4a6a-81f1-84fe2f4f2233&xptdk=b27f21ce-5f19-4a6a-81f1-84fe2f4f2233,EDT,4.9,Unisex,100,"159,000.00","1,590.00",Vanilla,Coffee,Pink Pepper,Orange Blossom,Jasmine,Cashmere,,,
94,CARESO,,Three,,https://shopee.co.id/CARESO-All-Day-EDT-THREE-100ml-i.260166994.17220133873?sp_atk=1dd7a963-35fa-400c-9eff-4306fe6893b9&xptdk=1dd7a963-35fa-400c-9eff-4306fe6893b9,EDT,4.3,Unisex,100,"159,000.00","1,590.00",Coconut,Jasmine,Bergamot,Pistachio,Ylang Ylang,Vanilla,,,
95,CARESO,,Joy,,https://shopee.co.id/CARESO-All-Day-EDT-JOY-100ml-i.260166994.16020132906?sp_atk=9ef2d2aa-e1d1-48ab-bcee-f52e9ec43b99&xptdk=9ef2d2aa-e1d1-48ab-bcee-f52e9ec43b99,EDT,4.8,Unisex,100,"159,000.00","1,590.00",Cardamom,Mimosa,Tonka Bean,Heliotrope,Sandalwood,Damask Rose,,,
96,CARESO,,Brave,,https://shopee.co.id/CARESO-All-Day-EDT-BRAVE-FOR-MEN-(Pria)-100ml-i.260166994.15361023541?sp_atk=b0ad6ca2-f4d5-48e6-a7f3-4fcf4ebf18b5&xptdk=b0ad6ca2-f4d5-48e6-a7f3-4fcf4ebf18b5,EDT,4.7,Unisex,100,"159,000.00","1,590.00",Pineapple,Blackcurrant,Birch,Patchouli,Moroccan Jasmine,Ambergris,,,
97,Carl & Claire,https://www.instagram.com/carlandclaire/?hl=en,Black Dahlia,,https://shopee.co.id/carlandclaire/6600856943,EDP,4.7,Unisex,30,"274,000.00","9,133.33",White Floral,Gourmand,Coffee,Vanilla,Floral,Woody,Amber,Musk,Sweet
98,Carl & Claire,,Talking to the Moon,,https://shopee.co.id/Carl-Claire-Talking-to-the-Moon-(ex.-Grace)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.7700856434?sp_atk=f7d0200e-bf96-493a-8ef1-e669839f7cf0&xptdk=f7d0200e-bf96-493a-8ef1-e669839f7cf0,EDP,4.1,Unisex,30,"256,680.00","8,556.00",Fruity,Orange Blossom,,Jasmine,Tuberose,Woody,Amber,Musk,Sweet
99,Carl & Claire,,Song of the Youth,,https://shopee.co.id/Carl-Claire-Song-of-the-Youth-(ex.-Beautiful-Life)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.7900857793?sp_atk=3ba596bd-8d5f-4e38-9be4-724de25ff1af&xptdk=3ba596bd-8d5f-4e38-9be4-724de25ff1af,EDP,4.8,Unisex,30,"209,000.00","6,966.67",Citrus,Floral,Fruity,Magnolia,Musk,Iris,Amber,Animalic,Moss
100,Carl & Claire,,Delicate Embrace,,https://shopee.co.id/Carl-Claire-Delicate-Embrace-(ex.-Delicate)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.7700856422?sp_atk=17082c0b-d856-40de-9cc5-9da4081f7596&xptdk=17082c0b-d856-40de-9cc5-9da4081f7596,EDP,4.8,Unisex,30,"256,680.00","8,556.00",Citrus,Freesia,Fruity,Lily Of The Valley,Red Rose,,Amber,Musk,
101,Carl & Claire,,Morning Glory,,https://shopee.co.id/Carl-Claire-Morning-Glory-(ex.-Gorgeous)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.7700856421?sp_atk=90b358f1-b698-48d0-8fc5-62bfbc47f5a9&xptdk=90b358f1-b698-48d0-8fc5-62bfbc47f5a9,EDP,4.7,Unisex,30,"270,630.00","9,021.00",Citrus,White Floral,Fruity,Floral,Jasmine,Lily Of The Valley,Moss,Musk,Oriental
102,Carl & Claire,,Paris Enchantee,,https://shopee.co.id/Carl-Claire-Emily-in-Paris-Enchantée-EDP-30ml-Parfum-Original-Garansi-30-hari-i.156128126.22709889474?sp_atk=b8371c19-3897-479f-8bd0-305caefc5e0e&xptdk=b8371c19-3897-479f-8bd0-305caefc5e0e,EDP,4.7,Unisex,30,"328,000.00","10,933.33",Gardenia,Leathery,Musk,Vanilla,,,,,
103,Carl & Claire,,A Love Like This,,https://shopee.co.id/Carl-Claire-A-Love-Like-This-(ex.-Blossom)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.6600856975?sp_atk=0b43068f-0c15-43ff-9fe8-65281e6cfdb1&xptdk=0b43068f-0c15-43ff-9fe8-65281e6cfdb1,EDP,4.9,Unisex,30,"256,680.00","8,556.00",Lily,Eucalyptus,Ginger,Lily,Amber,Jasmine,Cedarwood,Musk,Patchouli
104,Carl & Claire,,Dancing with my Shadow,,https://shopee.co.id/Carl-Claire-Dancing-with-my-Shadow-(ex.-Musk)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.5700857392?sp_atk=b50550ce-1b29-4022-908f-ff4b62fb9a11&xptdk=b50550ce-1b29-4022-908f-ff4b62fb9a11,EDP,5,Unisex,30,"256,800.00","8,560.00",Floral,Fresh,Herbaceous,Floral,Oriental,Red Rose,Amber,Balsamic,Musk
105,Carl & Claire,,Spring Sonata,,https://shopee.co.id/Carl-Claire-Spring-Sonata-(ex.-Lady)-EDP-30ml-Parfum-Original-Garansi-30-hari-i.156128126.7700856431?sp_atk=91693e20-812e-4b39-9bc8-cdf041bca8bc&xptdk=91693e20-812e-4b39-9bc8-cdf041bca8bc,EDP,4.1,Unisex,30,"237,150.00","7,905.00",Citrus,Red Rose,Peony,Floral,Fruity,Lactone,Amber,Floral,Musk
106,Carl & Claire,,Take My Hand,,https://shopee.co.id/Carl-Claire-Take-My-Hand-(ex.-Cherish)-EDP-30ml-Parfum-Original-Garansi-30-Hari-i.156128126.7700856427?sp_atk=64878bb2-9e6a-4011-9f04-c25f2387371a&xptdk=64878bb2-9e6a-4011-9f04-c25f2387371a,EDP,4.3,Unisex,30,"251,100.00","8,370.00",Bergamot,Fruity,Floral,Floral,Patchouli,,Amber,Animalic,
107,De.Claires,https://www.instagram.com/de.claires/?hl=en,Petite Pastry,,https://shopee.co.id/de.claires/18404156074,EDP,4.3,Unisex,55,"185,000.00","3,363.64",Vanilla,Cake,Coconut,,,,,,
108,de LUNAR Perfumery,https://www.instagram.com/delunarofficial/,Obsess,,https://shopee.co.id/delunarparfum/19427468028,EDP,4.4,Unisex,50,"185,000.00","3,700.00",Melon,Magnolia,Peach,Jasmine,Lily Of The Valley,Freesia,Musk,Vanilla,Cedarwood
109,Douceur Perfume,https://www.instagram.com/dcparfumeur/?hl=en,Avetis,,https://shopee.co.id/dcparfumeur/11602517836,EDP,4.7,Unisex,50,"125,000.00","2,500.00",Woody,Sweet,,,,,,,
110,el'mntrx,https://www.instagram.com/elmntrx.official/,De Fleurs,,https://shopee.co.id/el.mntrx/6260782413,EDP,4.2,Unisex,50,"185,000.00","3,700.00",Peach,Gardenia,,Carnation,Arum Dalu,,Honey,Rosewood,
111,Exxome,https://www.instagram.com/exxome.id/,Orion,,https://shopee.co.id/exxome.id/7659168089,EDP,4.4,Unisex,50,"169,000.00","3,380.00",Mandarin Orange,Bergamot,Saffron,Black Pepper,Cedarwood,Coriander,Sandalwood,Vetiver,Honey
112,Fabron Fragrance,https://www.instagram.com/fabronfrags/,Johan Malik,,https://shopee.co.id/fabron_id/19252902072,EDP,4.2,Unisex,50,"170,000.00","3,400.00",Tobacco,Spices,,Vanilla,Cacao,Tonka Bean,Dried Fruits,Woody,
113,Faivers,https://www.instagram.com/faivers.id/,Bitter Honey,,https://shopee.co.id/faiversindonesia/16368466463,EDP,4.1,Unisex,50,"170,100.00","3,402.00",Honey,Bitter Orange,,Tuberose,Cherry,Pear,,,
114,Fakhrul Oud,https://www.instagram.com/fakhruloud/,Signature 002,,https://tokopedia.link/U7GQy2TKlvb,ExDP,4.8,Unisex,50,"850,000.00","17,000.00",Nutmeg,Saffron,,Jasmine,Red Rose,,Oud,Musk,Patchouli
115,Fetch Fragrance,https://www.instagram.com/fetch.fragrances/,Slow Waltz,,https://shopee.co.id/fetchfragrances/5377120891,EDP,4,Unisex,30,"152,900.00","5,096.67",Jasmine,Saffron,,Ambergris,Amberwood,,Resin,Fir,Cedarwood
116,Filosophia,https://www.instagram.com/filosophia.id/,Party Anthem,,https://shopee.co.id/filosophia.perfumery/13945853545,EDP,4.3,Unisex,50,"150,000.00","3,000.00",Passion,Fruity,Bergamot,Cocktails,Mint,Pear,Lavender,Leathery,
117,Fonce,https://www.instagram.com/fonce.indonesia/,Red Roses Vanilla,,https://shopee.co.id/fonce.id/6707848329,ExDP,4.4,Unisex,50,"180,000.00","3,600.00",Sea,Lemon,,Red Rose,Creamy,,Vanilla,Sugar,White Musk
118,Fordive,https://www.instagram.com/fordive.id/,1970,,https://shopee.co.id/fordive/15549575221,EDP,4.8,Unisex,100,"279,000.00","2,790.00",Pink Pepper,Juniper,Violet,Cinnamon,Sage,Vanilla,Amber,Tonka Bean,Coffee
119,Getwet,https://www.instagram.com/getwet.id/,Epitome of Sunshine,,https://shopee.co.id/getwet.id/16328156455,EDP,4.7,Unisex,50,"249,000.00","4,980.00",Marigold,Mandarin Orange,Blackcurrant,Jasmine Sambac,Ylang Ylang,Honey,Benzoin,Cedarwood,Vanilla
120,Hausser,https://www.instagram.com/hausserperfume/?hl=en,Symphonie de Tabriz,,https://tokopedia.link/KJbOqUaepxb,EDP,4.8,Unisex,50,"975,000.00","19,500.00",Rum,Rosewood,Apple,Eucalyptus,Cashmere,Lily Of The Valley,Oud,Tonka Bean,Honey
121,Histeory,https://www.instagram.com/histeory/,Chemistry,,https://shopee.co.id/histeory.official/12939021770,EDP,4.1,Unisex,50,"169,000.00","3,380.00",Red Rose,Vanilla,Bergamot,Blackcurrant,Patchouli,Water Jasmine,Cedarwood,Leathery,Sandalwood
122,HMNS,https://www.instagram.com/hmns.id/,Orgsm,,https://shopee.co.id/houseofmedici/3045105353,EDP,4.3,Unisex,100,"323,000.00","3,230.00",Red Apple,,,Red Rose,Peony,Jasmine,Vanilla,Amber,
123,House of Dappers,https://www.instagram.com/houseofdappers.id/,Teh Melati,,https://shopee.co.id/houseofdappers/19149063628,EDP,4.5,Unisex,50,"235,000.00","4,700.00",Tea,Jasmine,Sugar,Musk,Sandalwood,,,,
124,House of Dappers,,Morning Dew,,https://shopee.co.id/House-Of-Dappers-No.7-Morning-Dew-i.687427103.23032075253?sp_atk=2f016a71-e1b2-4b96-a477-962dfb91316e&xptdk=2f016a71-e1b2-4b96-a477-962dfb91316e,EDP,4.5,Unisex,50,"235,000.00","4,700.00",Green,Grass,Aldehyde,Wild Flower,Freesia,Violet,Musk,Sandalwood,
125,House of Dappers,,Stone Red Rose,,https://shopee.co.id/House-Of-Dappers-N.-8-Stone-Red Rose-i.687427103.22732081087?sp_atk=c68e836e-1f4d-4d0a-a65a-73c564762fa5&xptdk=c68e836e-1f4d-4d0a-a65a-73c564762fa5,EDP,4.3,Unisex,50,"235,000.00","4,700.00",Red Rose,Pink Pepper,,Vetiver,Geranium,Green,Cedarwood,Musk,Agarwood
126,House of Medici,https://www.instagram.com/medicihouseof/,Lilac Wine,,https://shopee.co.id/houseofmedici/3045105353,EDP,4,Unisex,50,"350,000.00","7,000.00",Wine,Saffron,Thyme,Lilac,Blueberry,Mocha,Leathery,Heliotrope,Mahogany
127,House of Medici,,Fatima La Isabella,,https://shopee.co.id/Fatima-La-Isabella-i.291724652.3275448837?sp_atk=52d46b4e-f74f-49c6-9fc0-595001d298c1&xptdk=52d46b4e-f74f-49c6-9fc0-595001d298c1,EDP,4.7,Unisex,50,"350,000.00","7,000.00",Blue Chamomile,Cinnamon,Cacao,Turkish Rose,Tobacco,White Honey,White Chocolate,Dried Fruits,Musk
128,House of Medici,,Jophiel The Crimson Sword,,https://www.tokopedia.com/houseofmedici/jophiel-the-crimson-sword-edp-50ml?extParam=whid%3D9546460,EDP,4.1,Unisex,50,"400,000.00","8,000.00",Strawberry,Fir,Saffron,Jasmine Sambac,Caramel,Mocha,Vanilla,Tonka Bean,Pine Tree
129,House of Medici,,The Great Khadija,,https://www.tokopedia.com/houseofmedici/the-great-khadija-edp-50ml?extParam=whid%3D9546460,EDP,4.9,Unisex,50,"350,000.00","7,000.00",Melon,Cucumber,Saffron,Dates,Caramel,Rock Sugar,Vanilla,Cashmere,
130,House of Medici,,Elizabeth Undercover,,https://www.tokopedia.com/houseofmedici/elizabeth-undercover-edp-50ml?extParam=whid%3D9546460,EDP,4.3,Unisex,50,"500,000.00","10,000.00",Red Rosella Tea,Sichuan Pepper,Mate,Ink,Turkish Rose,Ambrette,Tobacco,Patchouli,Tonka Bean
131,Joie the Lab,https://www.instagram.com/joiethelab/,Memoir,,https://shopee.co.id/joiethelab/15362670940,EDP,4.3,Masculine,50,"165,000.00","3,300.00",Calabrian Bergamot,Black Pepper,,Sichuan Pepper,Lavender,Pink Pepper,Ambroxan,Cedarwood,Labdanum
132,Joie the Lab,,The One,,https://www.tokopedia.com/joiethelab/joie-the-lab-serene?extParam=whid%3D13346208,EDP,4.8,Unisex,50,"165,000.00","3,300.00",Grapefruit,Orange Blossom,Sage,Nutmeg,Orris Root,Pimento,Vetiver,Woody,Oakmoss
133,Joie the Lab,,Serene,,https://www.tokopedia.com/joiethelab/joie-the-lab-serene?extParam=whid%3D13346208,EDP,5,Feminime,50,"165,000.00","3,300.00",Pear,Melon,,Freesia,Red Rose,,Musk,Patchouli,Rhuburb
134,Justin Paul,https://www.instagram.com/justinpaulparfum/,Navy,,https://shopee.co.id/senswell/5659192141,EDP,4.7,Masculine,50,"110,000.00","2,200.00",Earthy,Marine,,Violet,Mandarin Orange,,Sandalwood,Musk,
135,Justin Paul,,Black,,https://www.tokopedia.com/luxeparfum/justin-paul-black-eau-de-parfume,EDP,4.5,Masculine,50,"110,000.00","2,200.00",Peppermint,Ginger,,Vanilla,Galbanum,,Pineapple,Cocoa,
136,Justin Paul,,Iceberg,,https://shopee.co.id/Justin-Paul-Iceberg-Parfum-Pria-Original-Tahan-Lama-i.3188494.14511382054?sp_atk=3f75d697-70f1-4a71-8ecd-2e04eba0f987&xptdk=3f75d697-70f1-4a71-8ecd-2e04eba0f987,EDP,4.9,Masculine,50,"110,000.00","2,200.00",Ozonic,,,Muguet,Cassia,,Cedarwood,Leathery,
137,Justin Paul,,Clear Day,,https://www.tokopedia.com/luxeparfum/justinpaul-clearday-parfum-pria-tahan-lama,EDP,4.6,Unisex,50,"110,000.00","2,200.00",Freesia,Pineapple,,Aquatic,Lily Of The Valley,,Amber,Musk,
138,Justin Paul,,After Dark,,https://shopee.co.id/JUSTIN-PAUL-After-Dark-edp-50ml-i.637621462.15630720583?sp_atk=bb766e66-9550-49cb-81c4-6be25c75f379&xptdk=bb766e66-9550-49cb-81c4-6be25c75f379,EDP,4.8,Masculine,50,"110,000.00","2,200.00",Mandarin Orange,,,Nutmeg,Carrot,,Vanilla,Woody,Tonka Bean
139,Kahf,https://www.instagram.com/kahfeveryday/,Revered Oud,,https://shopee.co.id/kahfofficial/18166020072,EDP,4.8,Masculine,100,"232,750.00","2,327.50",Fruity,Red Rose,Lemon,Amber,Gourmand,,Vanilla,Musk,Agarwood
140,Kahf,,Saffron Oud,,https://shopee.co.id/Kahf-Saffron-Oud-Eau-de-Parfum-100-ml-Parfum-Pria-i.326487418.23108458984?sp_atk=7f7226f4-b788-4113-8c9a-9523634d7fe3&xptdk=7f7226f4-b788-4113-8c9a-9523634d7fe3,EDP,4.1,Masculine,100,"245,000.00","2,450.00",Saffron,Clove,Mandarin Orange,Oud,Red Rose,Leathery,Patchouli,Cedarwood,Musk
141,Kahf,,Inviforating Waterfall,,https://shopee.co.id/Kahf-Invigorating-Waterfall-Eau-de-Toilette-35-ml-Parfum-Pria-Tahan-Lama-i.326487418.3758815376?sp_atk=6687bca6-f15a-4713-a14a-2c0d0dfe9e29&xptdk=6687bca6-f15a-4713-a14a-2c0d0dfe9e29,EDP,4,Masculine,35,"77,000.00","2,200.00",Marine,Watery,Lemon,Cedarwood,Floral,Violet,Amber,Patchouli,Vetiver
142,Kahf,,Humbling Forrest,,https://shopee.co.id/Kahf-Humbling-Forest-Eau-de-Toilette-35-ml-Parfum-Pria-Tahan-Lama-i.326487418.6658721504?sp_atk=5dd63512-78bb-4380-b457-3f22fed66ee5&xptdk=5dd63512-78bb-4380-b457-3f22fed66ee5,EDP,4,Masculine,35,"77,000.00","2,200.00",Cypress,Rosemary,Grapefruit,Cedarwood,Guaiac Wood,Jasmine,Patchouli,Sandalwood,Musk
143,Kahf,,True Brotherhood,,https://shopee.co.id/Kahf-True-Brotherhood-Eau-De-Toilette-35-ml-Parfum-Pria-Wangi-Tahan-Lama-i.326487418.6158721849?sp_atk=a521b748-37a2-4ea3-be92-eb960ddf6ec3&xptdk=a521b748-37a2-4ea3-be92-eb960ddf6ec3,EDP,4.3,Masculine,35,"77,000.00","22,000.00",Cinnamon,Orange,Lemon,Tobacco,Cypress,Lavender,Tonka Bean,Cedarwood,Incense
144,Kitschy,https://www.instagram.com/kitschy.beauty/,Golden Hour,,https://shopee.co.id/kitschybeauty/20843656442,EDP,4.7,Unisex,50,"298,000.00","5,960.00",Honey,Jasmine Sambac,,Marigold,,,Benzoin,Ylang Ylang,
145,Labcitane,https://www.instagram.com/labcitane/,Red Rose Peony,,https://shopee.co.id/labcitane/5443920156,ExDP,4.9,Feminime,50,"185,000.00","3,700.00",Mint,,,Red Rose,Freesia,,Vanilla,Ambroxan,Woody
146,Labcitane,,Vanilla Red Roses,,https://shopee.co.id/Labcitane-Vanilla-Red Roses-Extrait-De-Parfum-i.289043600.5889576927?xptdk=eb3dcf7f-825b-43ab-bb3c-099802f9e2bf,ExDP,4.1,Feminime,50,"185,000.00","3,700.00",Sugar,Woody,,Red Rose,,,Vanilla,White Musk,Cedarwood
147,Labcitane,,Oui,,https://shopee.co.id/labcitane/5443920156,ExDP,4.8,Feminime,50,"185,000.00","3,700.00",Mint,,,Red Rose,Freesia,,Vanilla,Ambroxan,Woody
148,Labcitane,,Pear Idole,,https://shopee.co.id/labcitane/5443920156,ExDP,4.4,Feminime,50,"185,000.00","3,700.00",Aquatic,Bergamot,,Red Rose,Pear,,White Floral,Musk,Vanilla
149,Labcitane,,Eau Red Rose,,https://shopee.co.id/labcitane/5443920156,ExDP,4.4,Feminime,50,"185,000.00","3,700.00",Floral,,,Red Rose,Jasmine,,Musk,Woody,Honey
150,Layr Fragrance,https://www.instagram.com/layrfragrance/,Second Skin,,https://shopee.co.id/LAYR-FRAGRANCE-SECOND-SKIN-i.961272300.20276831775?sp_atk=c06debf6-d183-4709-9181-120331ee702d&xptdk=c06debf6-d183-4709-9181-120331ee702d,ExDP,4.4,Unisex,50,"249,000.00","4,980.00",Black Pepper,Bergamot,Clary Sage,Red Rose,Orange Flower,Violet,Patchouli,Amber,Musk
